Hours;Calls Presented;Calls Answered;Call Answered <= 45s;Call Answered (> 45s &<= 90s);Call Answered > 90s;Unanswered Calls;TMA;TME;% Answered;DATA_FORMATADA_1;DATA_FORMATADA_FINAL;HORA_FORMATADA;CLASSIFICAÇÃO_DIA;RESPONDIDAS_DN;RESPONDIDAS_DP;NS_DP;NS_DN;NÃO_RESPONDIDAS_DN;NÃO_RESPONDIDAS_DP;DATA_FORMATADA_2;MÊS;ANO;HORA_FORMATADA_2
2021-07-02 20:00:00;4;4;4;;;;00:05:20;00:00:00;100%;2021-07-02;02/07/2021;20:00:00;DIA NOMAL;4;4;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;20:00:00
2021-07-02 19:00:00;15;15;15;;;;00:06:31;00:00:00;100%;2021-07-02;02/07/2021;19:00:00;DIA NOMAL;15;15;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;19:00:00
2021-07-02 18:00:00;32;32;32;;;;00:06:09;00:00:00;100%;2021-07-02;02/07/2021;18:00:00;DIA NOMAL;32;32;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;18:00:00
2021-07-02 17:00:00;57;44;24;;20;13;00:06:37;00:02:09;77%;2021-07-02;02/07/2021;17:00:00;DIA NOMAL;24;24;42%;42%;33;33;02/07/2021;(07)-jul/2021;2021;17:00:00
2021-07-02 16:00:00;90;81;56;13;10;9;00:06:18;00:00:51;90%;2021-07-02;02/07/2021;16:00:00;DIA NOMAL;56;69;77%;62%;34;21;02/07/2021;(07)-jul/2021;2021;16:00:00
2021-07-02 15:00:00;89;84;60;16;8;5;00:05:28;00:00:27;94%;2021-07-02;02/07/2021;15:00:00;DIA NOMAL;60;76;85%;67%;29;13;02/07/2021;(07)-jul/2021;2021;15:00:00
2021-07-02 14:00:00;108;103;87;6;10;5;00:05:30;00:00:28;95%;2021-07-02;02/07/2021;14:00:00;DIA NOMAL;87;93;86%;81%;21;15;02/07/2021;(07)-jul/2021;2021;14:00:00
2021-07-02 13:00:00;113;110;84;20;6;3;00:04:58;00:00:21;97%;2021-07-02;02/07/2021;13:00:00;DIA NOMAL;84;104;92%;74%;29;9;02/07/2021;(07)-jul/2021;2021;13:00:00
2021-07-02 12:00:00;92;92;83;9;;;00:05:33;00:00:06;100%;2021-07-02;02/07/2021;12:00:00;DIA NOMAL;83;92;100%;90%;9;0;02/07/2021;(07)-jul/2021;2021;12:00:00
2021-07-02 11:00:00;124;124;121;3;;;00:04:39;00:00:03;100%;2021-07-02;02/07/2021;11:00:00;DIA NOMAL;121;124;100%;98%;3;0;02/07/2021;(07)-jul/2021;2021;11:00:00
2021-07-02 10:00:00;131;129;116;13;;2;00:04:58;00:00:10;99%;2021-07-02;02/07/2021;10:00:00;DIA NOMAL;116;129;98%;89%;15;2;02/07/2021;(07)-jul/2021;2021;10:00:00
2021-07-02 09:00:00;90;90;84;5;1;;00:05:42;00:00:06;100%;2021-07-02;02/07/2021;09:00:00;DIA NOMAL;84;89;99%;93%;6;1;02/07/2021;(07)-jul/2021;2021;09:00:00
2021-07-02 08:00:00;41;41;41;;;;00:06:05;00:00:00;100%;2021-07-02;02/07/2021;08:00:00;DIA NOMAL;41;41;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;08:00:00
2021-07-01 20:00:00;3;3;3;;;;00:05:24;00:00:00;100%;2021-07-01;01/07/2021;20:00:00;DIA NOMAL;3;3;100%;100%;0;0;01/07/2021;(07)-jul/2021;2021;20:00:00
2021-07-01 19:00:00;11;11;10;1;;;00:08:09;00:00:05;100%;2021-07-01;01/07/2021;19:00:00;DIA NOMAL;10;11;100%;91%;1;0;01/07/2021;(07)-jul/2021;2021;19:00:00
2021-07-01 18:00:00;24;22;12;5;5;2;00:07:11;00:00:47;92%;2021-07-01;01/07/2021;18:00:00;DIA NOMAL;12;17;71%;50%;12;7;01/07/2021;(07)-jul/2021;2021;18:00:00
2021-07-01 17:00:00;74;59;15;6;38;15;00:06:32;00:02:18;80%;2021-07-01;01/07/2021;17:00:00;DIA NOMAL;15;21;28%;20%;59;53;01/07/2021;(07)-jul/2021;2021;17:00:00
2021-07-01 16:00:00;131;79;;1;77;52;00:05:51;00:03:27;60%;2021-07-01;01/07/2021;16:00:00;DIA NOMAL;0;1;1%;0%;131;130;01/07/2021;(07)-jul/2021;2021;16:00:00
2021-07-01 15:00:00;128;82;25;8;47;46;00:06:22;00:04:04;64%;2021-07-01;01/07/2021;15:00:00;DIA NOMAL;25;33;26%;20%;103;95;01/07/2021;(07)-jul/2021;2021;15:00:00
2021-07-01 14:00:00;132;131;121;3;7;1;00:06:46;00:00:11;99%;2021-07-01;01/07/2021;14:00:00;DIA NOMAL;121;124;94%;92%;11;8;01/07/2021;(07)-jul/2021;2021;14:00:00
2021-07-01 13:00:00;127;126;111;15;;1;00:05:59;00:00:12;99%;2021-07-01;01/07/2021;13:00:00;DIA NOMAL;111;126;99%;87%;16;1;01/07/2021;(07)-jul/2021;2021;13:00:00
2021-07-01 12:00:00;132;129;119;10;;3;00:05:45;00:00:10;98%;2021-07-01;01/07/2021;12:00:00;DIA NOMAL;119;129;98%;90%;13;3;01/07/2021;(07)-jul/2021;2021;12:00:00
2021-07-01 11:00:00;165;133;4;39;90;32;00:05:33;00:01:48;81%;2021-07-01;01/07/2021;11:00:00;DIA NOMAL;4;43;26%;2%;161;122;01/07/2021;(07)-jul/2021;2021;11:00:00
2021-07-01 10:00:00;137;127;57;24;44;10;00:05:14;00:00:59;93%;2021-07-01;01/07/2021;10:00:00;DIA NOMAL;57;81;59%;42%;80;56;01/07/2021;(07)-jul/2021;2021;10:00:00
2021-07-01 09:00:00;121;115;92;16;7;6;00:05:36;00:00:19;95%;2021-07-01;01/07/2021;09:00:00;DIA NOMAL;92;108;89%;76%;29;13;01/07/2021;(07)-jul/2021;2021;09:00:00
2021-07-01 08:00:00;52;51;48;;;1;00:05:22;00:00:03;98%;2021-07-01;01/07/2021;08:00:00;DIA NOMAL;48;48;92%;92%;4;4;01/07/2021;(07)-jul/2021;2021;08:00:00
2021-06-30 20:00:00;5;5;5;;;;00:07:50;00:00:00;100%;2021-06-30;30/06/2021;20:00:00;DIA NOMAL;5;5;100%;100%;0;0;30/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-30 19:00:00;18;18;17;1;;;00:07:28;00:00:04;100%;2021-06-30;30/06/2021;19:00:00;DIA NOMAL;17;18;100%;94%;1;0;30/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-30 18:00:00;34;29;17;2;10;5;00:05:12;00:01:53;85%;2021-06-30;30/06/2021;18:00:00;DIA NOMAL;17;19;56%;50%;17;15;30/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-30 17:00:00;50;48;39;5;4;2;00:07:04;00:00:24;96%;2021-06-30;30/06/2021;17:00:00;DIA NOMAL;39;44;88%;78%;11;6;30/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-30 16:00:00;89;72;22;15;34;17;00:06:51;00:01:46;81%;2021-06-30;30/06/2021;16:00:00;DIA NOMAL;22;37;42%;25%;67;52;30/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-30 15:00:00;129;102;30;18;53;27;00:06:06;00:02:03;79%;2021-06-30;30/06/2021;15:00:00;DIA NOMAL;30;48;37%;23%;99;81;30/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-30 14:00:00;127;121;102;14;5;6;00:05:39;00:00:18;95%;2021-06-30;30/06/2021;14:00:00;DIA NOMAL;102;116;91%;80%;25;11;30/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-30 13:00:00;115;114;114;;;1;00:05:26;00:00:00;99%;2021-06-30;30/06/2021;13:00:00;DIA NOMAL;114;114;99%;99%;1;1;30/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-30 12:00:00;127;126;123;3;;1;00:05:36;00:00:02;99%;2021-06-30;30/06/2021;12:00:00;DIA NOMAL;123;126;99%;97%;4;1;30/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-30 11:00:00;141;132;111;7;14;9;00:05:12;00:00:18;94%;2021-06-30;30/06/2021;11:00:00;DIA NOMAL;111;118;84%;79%;30;23;30/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-30 10:00:00;131;125;105;7;12;6;00:05:32;00:00:21;95%;2021-06-30;30/06/2021;10:00:00;DIA NOMAL;105;112;85%;80%;26;19;30/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-30 09:00:00;93;91;88;3;;2;00:05:17;00:00:03;98%;2021-06-30;30/06/2021;09:00:00;DIA NOMAL;88;91;98%;95%;5;2;30/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-30 08:00:00;40;38;36;;2;2;00:06:28;00:00:09;95%;2021-06-30;30/06/2021;08:00:00;DIA NOMAL;36;36;90%;90%;4;4;30/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-29 20:00:00;9;9;9;;;;00:05:05;00:00:00;100%;2021-06-29;29/06/2021;20:00:00;DIA NOMAL;9;9;100%;100%;0;0;29/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-29 19:00:00;19;18;18;;;1;00:05:34;00:00:07;95%;2021-06-29;29/06/2021;19:00:00;DIA NOMAL;18;18;95%;95%;1;1;29/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-29 18:00:00;27;26;26;;;1;00:07:05;00:00:01;96%;2021-06-29;29/06/2021;18:00:00;DIA NOMAL;26;26;96%;96%;1;1;29/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-29 17:00:00;73;64;24;14;26;9;00:07:12;00:01:13;88%;2021-06-29;29/06/2021;17:00:00;DIA NOMAL;24;38;52%;33%;49;35;29/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-29 16:00:00;105;99;45;25;29;6;00:05:40;00:00:59;94%;2021-06-29;29/06/2021;16:00:00;DIA NOMAL;45;70;67%;43%;60;35;29/06/2021;(06)-jun/2021;2021;16:00:00
